bank_id,category_id,offer_title,merchant_details,offer_details_1,offer_details_2,offer_validity,discount,image_url,more_details_url
2,2,25% Discount at The Blue Water Hotel and Spa - Wadduwa,The Blue Water Hotel and Spa - Wadduwa,"25% Discount on double & triple room bookings on bed & breakfast, half board & full board basis stays at The Blue Water Hotel and Spa, Wadduwa for Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express Platinum Ultramiles Credit Cardmembers.",0773876579,31st March 2025,25% Discount,https://www.sampath.lk/api/uploads/blob_d8ede6a102_d189284ac3_86b9fb15e0,https://www.sampath.lk/sampath-cards/credit-card-offer/1462
2,2,Up to 30% Discount at Grand Udawalawe Safari Resort - Udawalawa,Grand Udawalawe Safari Resort - Udawalawa,"Offer 01: 30% Discount on double room & triple room bookings on Deluxe room category on full board basis stays at Grand Udawalawe Safari Resort, Udawalawa for Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.

Offer 02: 20% Discount on double room & triple room bookings on Deluxe room category on full board basis stays at Grand Udawalawe Safari Resort, Udawalawa for Sampath Debit Cardholders.",,30th April 2025,Up to 30% Discount,https://www.sampath.lk/api/uploads/blob_18188d01f2_42e9d76a3c_f0ded063c6,https://www.sampath.lk/sampath-cards/credit-card-offer/1461
2,2,20% Discount at Hotel Sudu Araliya - Polonnaruwa,Hotel Sudu Araliya - Polonnaruwa,"20% Discount on bed and breakfast, half board and full board on Deluxe room category at Sudu Araliya hotel, Polonnaruwa for all Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0272224849,31st March 2025,20% Discount,https://www.sampath.lk/api/uploads/blob_069b7a3771_d769a07f7c_a75660edc0,https://www.sampath.lk/sampath-cards/credit-card-offer/1460
2,2,15% Discount at Araliya Green City - Nuwara Eliya,Araliya Green City - Nuwara Eliya,"15% Discount on double and triple room bookings on bed and breakfast, half board & full board at Araliya Green City, Nuwara Eliya for all Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0522225000,31st March 2025,15% Discount,https://www.sampath.lk/api/uploads/blob_d14d4d07ff_5c6db43d08_834df5bb04,https://www.sampath.lk/sampath-cards/credit-card-offer/1458
2,2,15% Discount at Araliya Red - Nuwara Eliya,Araliya Red - Nuwara Eliya,"15% Discount on double and triple room bookings on bed and breakfast, half board & full board at Araliya Red, Nuwara Eliya for all Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0522226000,31st March 2025,15% Discount,https://www.sampath.lk/api/uploads/blob_b8164e332d_1c580493e7_be2aa9aa9c,https://www.sampath.lk/sampath-cards/credit-card-offer/1457
2,2,15% Discount at Araliya Green Hills - Nuwara Eliya,Araliya Green Hills - Nuwara Eliya,"15% Discount on double and triple room bookings on bed and breakfast, half board & full board at Araliya Green Hills, Nuwara Eliya for all Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0703515284,31st March 2025,15% Discount,https://www.sampath.lk/api/uploads/blob_cff9d3081b_976dd9fe9c_0cf2a24512,https://www.sampath.lk/sampath-cards/credit-card-offer/1456
2,2,20% Discount at Araliya Beach Resot & Spa - Unawatuna,Araliya Beach Resot & Spa - Unawatuna,"20% Discount on double & triple room bookings on half board and full board stays on Deluxe room category at Araliya Beach Resot & Spa, Unawatuna for all Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Expres® Platinum Ultramiles Credit Cardmembers",0704445551,30th April 2025,20% Discount,https://www.sampath.lk/api/uploads/blob_8947fc31b9_481dc417a2_fc188adc50,https://www.sampath.lk/sampath-cards/credit-card-offer/1449
2,2,20% Discount at Mount Cinnamon - Mirissa,Mount Cinnamon - Mirissa,"20% Discount on double and triple room bookings on bed and breakfast, half board & full board basis stays at Mount Cinnamon, Mirissa for Sampath Mastercard and Visa Credit Cardholders.",0775953513,30th April 2025,20% Discount,https://www.sampath.lk/api/uploads/blob_505a7d308b_83d9148bd1_790ba12462,https://www.sampath.lk/sampath-cards/credit-card-offer/1446
2,2,25% Discount at Ishq Talpe,Ishq Talpe,"25% Discount on bed and breakfast stays at Ishq Talpe for Sampath Mastercard World, Visa Signature, Infinite Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0761671676,28th February 2025,25% Discount,https://www.sampath.lk/api/uploads/blob_9961dd9b23_4ed3ee4524_cf5cc8ebde,https://www.sampath.lk/sampath-cards/credit-card-offer/1444
2,2,30% Discount at Amaara Forest Hotel - Sigiriya,Amaara Forest Hotel - Sigiriya,"30% Discount at Amaara Forest Hotel, Sigiriya on half board and full board basis stays for Sampath Bank Mastercard, Visa Credit/Debit Cardholders and Sampath Bank American Expresss® Platinum Ultramiles Credit Cardmembers",0770038303,31st March 2025,30% Discount,https://www.sampath.lk/api/uploads/blob_b24532d391_609ca82ef6_6e322aea36,https://www.sampath.lk/sampath-cards/credit-card-offer/1442
2,2,30% Discount at Amaara Sky Hotel - Kandy,Amaara Sky Hotel - Kandy,"30% Discount at Amaara Sky Hotel, Kandy on half board and full board basis stays for Sampath Bank Mastercard, Visa Credit/Debit Cardholders and Sampath Bank American Expresss® Platinum Ultramiles Credit Cardmembers",0770038303,31st March 2025,30% Discount,https://www.sampath.lk/api/uploads/blob_df77160bb2_eef8f31fdb_79195a6ca0,https://www.sampath.lk/sampath-cards/credit-card-offer/1441
2,2,35% Discount at Tropical Life Resort & Spa - Dambulla,Tropical Life Resort & Spa - Dambulla,"35% Discount on double & triple room bookings on half board & full board basis stays at Tropical Life Resort & Spa, Dambulla for Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0662030300,30th March 2025,35% Discount,https://www.sampath.lk/api/uploads/blob_68582367f7_bfc93b90ed_f5390e9221,https://www.sampath.lk/sampath-cards/credit-card-offer/1440
2,2,Up to 35% Discount at Sigiriya Jungles - Sigiriya,Sigiriya Jungles - Sigiriya,"Up to 35% Discount at Sigiriya Jungles on double & triple room bookings on half board and full board basis stays for Sampath Bank Mastercard, Visa Credit Cardholders and Sampath Bank American Expresss® Platinum Ultramiles Credit Cardmembers",0114508508,28th February 2025,Up to 35% Discount,https://www.sampath.lk/api/uploads/blob_c965206dba_486d469756_5728dcefe7,https://www.sampath.lk/sampath-cards/credit-card-offer/1435
2,2,20% Discount at Centauria Wild - Udawalawa,Centauria Wild - Udawalawa,"20% Discount on double and triple room bookings on bed and breakfast, half board & full board basis stays at Centauria Wild, Udawalawa for Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0477634630,28th February 2025,20% Discount,https://www.sampath.lk/api/uploads/blob_e621c6a06b_17d18bf5f9_b9dddfa705,https://www.sampath.lk/sampath-cards/credit-card-offer/1419
2,2,40% Discount at Uppuveli Beach by DSK - Trincomalee,Uppuveli Beach by DSK - Trincomalee,"40% Discount on double & triple room bookings on half board & full board basis stays at Uppuveli Beach by DSK, Trincomalee for Sampath Mastercard, Visa Credit Cardholders and Sampath Bank American Express® Platinum Ultramiles Credit Cardmembers.",0262222488,31st March 2025,40% Discount,https://www.sampath.lk/api/uploads/blob_0da06c7cc7_3b0b12699f_eb2aca5c4b,https://www.sampath.lk/sampath-cards/credit-card-offer/1372
2,4,06 months 0% Instalment Plans at Raja Jewellers,Raja Jewellers,Offer : 06 months 0% Instalment Plans at Raja Jewellers outlets for Sampath Mastercard & Visa Credit Cardholders.,,30th April 2025,06 months 0% Instalment Plans,https://www.sampath.lk/api/uploads/blob_09b1b8b4cb_6e1d6fc9bc_6955026942,https://www.sampath.lk/sampath-cards/credit-card-offer/1426
